       jd             rh            delta   phase                  r                  g
2458198.5 2.750754437475 3.02482105430097 19.1083  19.88430771291077 20.382098062460834
2458199.5 2.750852874358  3.0363643647041 19.0098 19.889509524364588 20.387299873914653
2458200.5 2.750943760135 3.04783232663539 18.9094 19.894555234921842 20.392345584471908
2458201.5 2.751027094235 3.05922362796721 18.8073 19.899450894362992 20.397241243913058
2458202.5 2.751102876131 3.07053707565064 18.7034  19.90419303332522 20.401983382875287
2458203.5 2.751171105338 3.08177159421983 18.5979 19.908787882988584  20.40657823253865
2458204.5 2.751231781416 3.09292621720194 18.4907  19.91323211860554 20.411022468155604
2458205.5 2.751284903965   3.104000071149  18.382 19.917532124480694  20.41532247403076
2458206.5 2.751330472632 3.11499235263072 18.2716 19.921681441772368 20.419471791322433
2458207.5 2.751368487104 3.12590229982814 18.1598  19.92568976222192 20.423480111771987
2458208.5 2.751398947115 3.13672916202538 18.0465 19.929553873341806 20.427344222891872
2458209.5  2.75142185244  3.1474721714522 17.9317  19.93327376297884 20.431064112528905
2458210.5 2.751437202898 3.15813052171978 17.8155 19.936852630440193 20.434642979990258
2458211.5 2.751444998352 3.16870335536341 17.6979  19.94029039336755 20.438080742917617
2458212.5 2.751445238711 3.17918976051802 17.5789  19.94358692081838 20.441377270368445
2458213.5 2.751437923926  3.1895887746453 17.4586 19.946745303461203  20.44453565301127
2458214.5 2.751423053992 3.19989939224262  17.337 19.949765341888465  20.44755569143853
2458215.5  2.75140062895 3.21012057361175 17.2141   19.9526468034162 20.450437152966266
2458216.5 2.751370648884 3.22025125259671 17.0899  19.95538942738965 20.453179776939717
2458217.5 2.751333113925 3.23029034221157 16.9645 19.957996219466388 20.455786569016453
2458218.5 2.751288024246 3.24023673797271  16.838 19.960470187398144  20.45826053694821
2458219.5 2.751235380066 3.25008931945171 16.7102  19.96280443450015 20.460594784050215
2458220.5 2.751175181648 3.25984695112134 16.5813 19.965005230125474  20.46279557967554
2458221.5 2.751107429302 3.26950848402778 16.4513 19.967072243321482 20.464862592871548
2458222.5 2.751032123382 3.27907276015097 16.3202  19.96900512635632 20.466795475906384
2458223.5 2.750949264286 3.28853862134256  16.188 19.970803520084107 20.468593869634173
2458224.5 2.750858852459 3.29790492418647 16.0548 19.972470397947536   20.4702607474976
2458225.5  2.75076088839 3.30717056080739 15.9207 19.974008770733132 20.471799120283197
2458226.5 2.750655372615  3.3163344836936 15.7856  19.97541500579843 20.473205355348494
2458227.5 2.750542305714  3.3253957306649 15.6496  19.97669219524053 20.474482544790597
2458228.5 2.750421688313 3.33435344519347 15.5127 19.977840149531403  20.47563049908147
2458229.5 2.750293521084 3.34320688803448  15.375  19.97886210766352 20.476652457213586
2458230.5 2.750157804745 3.35195543828163 15.2365 19.979758018506317 20.477548368056382
2458231.5 2.750014540059 3.36059858444699 15.0972 19.980527881477265  20.47831823102733
2458232.5 2.749863727837 3.36913590785948 14.9572 19.981175125566562 20.478965475116627
2458233.5 2.749705368933 3.37756706117325 14.8165  19.98169983312756 20.479490182677626
2458234.5 2.749539464249 3.38589174444204 14.6751 19.982102092354744  20.47989244190481
2458235.5 2.749366014734 3.39410968069647 14.5331 19.982385395082783  20.48017574463285
2458236.5 2.749185021381 3.40222059268686 14.3905  19.98254981455725 20.480340164107314
2458237.5  2.74899648523  3.4102241824259 14.2474  19.98259881411612 20.480389163666185
2458238.5 2.748800407368 3.41812011509478 14.1037 19.982528958344254  20.48031930789432
2458239.5 2.748596788929 3.42590800846359 13.9595  19.98234361442777 20.480133963977835
2458240.5  2.74838563109  3.4335874281647 13.8148 19.982042662319238 20.479833011869303
2458241.5 2.748166935078 3.44115788817252 13.6697 19.981629383010834   20.4794197325609
2458242.5 2.747940702164  3.4486188550399 13.5241   19.9811000794699 20.478890429019966
2458243.5 2.747706933667 3.45596975407401 13.3782  19.98046141116094 20.478251760711007
2458244.5 2.747465630952 3.46320997574192 13.2319 19.979709571702593 20.477499921252658
2458245.5  2.74721679543 3.47033888103845 13.0852  19.97884416425667 20.476634513806736
2458246.5  2.74696042856  3.4773558051467 12.9383 19.977871765584794  20.47566211513486
2458247.5 2.746696531846  3.4842600593451 12.7911 19.976788402992057 20.474578752542122
2458248.5 2.746425106839 3.49105093172951 12.6437 19.975597077782627 20.473387427332693
2458249.5 2.746146155139 3.49772768794117 12.4961 19.974297229459467 20.472087579009532
2458250.5 2.745859678389 3.50428957371676 12.3483 19.972888239855664  20.47067858940573
2458251.5 2.745565678282 3.51073582157736 12.2004 19.971373006689383  20.46916335623945
2458252.5 2.745264156555 3.51706566401449 12.0524 19.969750843451813  20.46754119300188
2458253.5 2.744955114994 3.52327835460546 11.9045  19.96802822103396 20.465818570584027
2458254.5 2.744638555431 3.52937319622586 11.7565 19.966197253380855  20.46398760293092
2458255.5 2.744314479745 3.53534957226605 11.6086 19.964264441513496  20.46205479106356
2458256.5 2.743982889861 3.54120697395903 11.4608 19.962229132724666  20.46001948227473
2458257.5 2.743643787753 3.54694501656775 11.3132 19.960094350417922 20.457884699967988
2458258.5 2.743297175438  3.5525634401453 11.1658 19.957859530858595  20.45564988040866
2458259.5 2.742943054984 3.55806209548931 11.0187  19.95552780879996 20.453318158350026
2458260.5 2.742581428503 3.56344092001081  10.872 19.953102382283603  20.45089273183367
2458261.5 2.742212298154 3.56869990962798 10.7256  19.95057906003826 20.448369409588327
2458262.5 2.741835666144 3.57383909163738 10.5797 19.947964760209327 20.445755109759393
2458263.5 2.741451534725 3.57885850128612 10.4343 19.945258985524845  20.44304933507491
2458264.5 2.741059906195 3.58375816285473 10.2895   19.9424649598537 20.440255309403767
2458265.5 2.740660782899 3.58853807503612 10.1453 19.939582126525806 20.437372476075872
2458266.5 2.740254167229 3.59319820014278 10.0018   19.9366136806307 20.434404030180765
2458267.5 2.739840061625 3.59773845679342   9.859  19.93355899383197 20.431349343382035
2458268.5 2.739418468572 3.60215871586386  9.7171 19.930425096887944  20.42821544643801
2458269.5 2.738989390606 3.60645879944832  9.5761  19.92721136815784 20.425001717707907
2458270.5 2.738552830309 3.61063848236824  9.4361 19.923921042451592 20.421711392001658
2458271.5 2.738108790315 3.61469749549958  9.2971 19.920553467142682 20.418343816692747
2458272.5 2.737657273309 3.61863553000622  9.1593 19.917115874841453  20.41490622439152
2458273.5 2.737198282028 3.62245224155675  9.0226 19.913603704963812 20.411394054513877
2458274.5 2.736731819264 3.62614725378217  8.8873 19.910028338722718 20.407818688272783
2458275.5 2.736257887863 3.62972016057553  8.7534 19.906389336349278 20.404179685899344
2458276.5 2.735776490728 3.63317052730738   8.621  19.90269033134654 20.400480680896607
2458277.5 2.735287630817 3.63649789162261  8.4901 19.898930968992754  20.39672131854282
2458278.5 2.734791311149 3.63970176518996   8.361 19.895123325457355  20.39291367500742
2458279.5   2.7342875348 3.64278163853166  8.2338 19.891271532809025  20.38906188235909
2458280.5 2.733776304903 3.64573699161749  8.1084  19.88737147837351 20.385161827923575
2458281.5 2.733257624649 3.64856731272878  7.9852  19.88344017525696 20.381230524807027
2458282.5 2.732731497288 3.65127212644729  7.8642 19.879478157832633   20.3772685073827
2458283.5 2.732197926126 3.65385102812634  7.7455  19.87549038050398 20.373280730054045
2458284.5 2.731656914524 3.65630371779777  7.6293 19.871486418782666 20.369276768332732
2458285.5 2.731108465902  3.6586300237837  7.5157  19.86747190305901 20.365262252609075
2458286.5  2.73055258373 3.66082990807156   7.405  19.86346160904839 20.361251958598455
2458287.5 2.729989271538 3.66290345176868  7.2971 19.859453073560935    20.357243423111
2458288.5 2.729418532905 3.66485082603829  7.1925  19.85547078899416 20.353261138544227
2458289.5 2.728840371467 3.66667225756564  7.0911 19.851512905800746  20.34930325535081
2458290.5 2.728254790911 3.66836799657355  6.9931   19.8475912184865 20.345381568036565
2458291.5 2.727661794978 3.66993829172681  6.8988  19.84372248401692 20.341512833566984
